year,mo,region,extent,area
1995,Jul,N,8.99,6.16
1995,Aug,N,6.74,4.69
1995,Sep,N,6.08,4.43
1995,Oct,N,7.83,5.99
1995,Nov,N,10.76,9.03
1995,Dec,N,12.92,11.09
1995,Jan,S,5.64,3.73
1995,Feb,S,3.56,2.19
1995,Mar,S,4.63,3.01
1995,Apr,S,7.27,5.4
1995,May,S,10.42,8.19
1995,Jun,S,13.29,10.46
1995,Jul,S,15.74,12.53
1995,Aug,S,17.78,14.2
1995,Sep,S,18.37,14.46
1995,Oct,S,18.03,13.57
1995,Nov,S,15.63,11.49
1995,Dec,S,10.62,7.19
1996,Jan,N,14.18,12.15
1996,Feb,N,15.15,12.98
1996,Mar,N,15.12,12.9
1996,Apr,N,14.22,12.32
1996,May,N,13.09,11.28
1996,Jun,N,12.08,9.83
1996,Jul,N,10.16,7.44
1996,Aug,N,8.18,5.73
1996,Sep,N,7.58,5.62
1996,Oct,N,9.16,7.54
1996,Nov,N,10.4,8.77
1996,Dec,N,12.86,11.03
1996,Jan,S,5.87,3.55
1996,Feb,S,2.98,1.77
1996,Mar,S,4.18,2.65
1996,Apr,S,7.28,5.37
1996,May,S,10.92,8.65
1996,Jun,S,13.87,11.09
1996,Jul,S,16.12,12.89
1996,Aug,S,17.74,13.9
1996,Sep,S,18.63,14.54
1996,Oct,S,17.96,13.94
1996,Nov,S,15.72,11.24
1996,Dec,S,9.65,6.24
1997,Jan,N,14.42,12.39
1997,Feb,N,15.44,13.44
1997,Mar,N,15.47,13.3
1997,Apr,N,14.56,12.57
1997,May,N,13.18,11.24
1997,Jun,N,11.74,9.2
1997,Jul,N,9.41,6.5
1997,Aug,N,7.29,5.09
1997,Sep,N,6.69,4.89
1997,Oct,N,8.34,6.47
1997,Nov,N,10.68,9.07
1997,Dec,N,13.08,11.24
1997,Jan,S,4.2,2.77
1997,Feb,S,2.49,1.72
1997,Mar,S,3.46,2.3
1997,Apr,S,6.49,4.84
1997,May,S,10.12,7.91
1997,Jun,S,13.12,10.22
1997,Jul,S,15.92,12.75
1997,Aug,S,17.68,14.09
1997,Sep,S,18.6,14.59
1997,Oct,S,17.99,14.12
1997,Nov,S,15.73,11.59
1997,Dec,S,10.29,6.99
1998,Jan,N,14.72,12.81
1998,Feb,N,15.75,13.77
1998,Mar,N,15.6,13.57
1998,Apr,N,14.89,12.85
1998,May,N,13.59,11.4
1998,Jun,N,11.71,9.18
1998,Jul,N,9.42,6.45
1998,Aug,N,7.51,4.69
1998,Sep,N,6.54,4.3
1998,Oct,N,8.45,6.71
1998,Nov,N,10.44,8.88
1998,Dec,N,12.76,10.91
1998,Jan,S,4.46,3.04
1998,Feb,S,2.99,1.87
1998,Mar,S,4.11,2.71
1998,Apr,S,6.85,5.12
1998,May,S,10.33,7.91
1998,Jun,S,13.31,10.34
1998,Jul,S,15.96,12.66
1998,Aug,S,17.88,14.06
1998,Sep,S,18.9,14.84
1998,Oct,S,18.66,14.54
1998,Nov,S,16.3,11.88
1998,Dec,S,10.52,6.8
1999,Jan,N,14.36,12.6
1999,Feb,N,15.31,13.45
1999,Mar,N,15.4,13.54
1999,Apr,N,15.08,13.15
1999,May,N,13.75,11.66
1999,Jun,N,11.78,9.25
1999,Jul,N,9.49,6.55
1999,Aug,N,7.23,4.75
1999,Sep,N,6.12,4.29
1999,Oct,N,8.6,6.83
1999,Nov,N,10.8,9.26
1999,Dec,N,12.64,10.99
1999,Jan,S,4.82,3.11
1999,Feb,S,2.97,1.77
1999,Mar,S,3.98,2.58
1999,Apr,S,6.89,5.13
1999,May,S,10.27,8.07
1999,Jun,S,13.65,10.83
1999,Jul,S,16.28,13.06
1999,Aug,S,17.96,14.24
1999,Sep,S,18.7,14.62
1999,Oct,S,18.35,14.23
1999,Nov,S,15.96,11.51
1999,Dec,S,10.72,6.8
2000,Jan,N,14.22,12.3
2000,Feb,N,15.14,13.09
2000,Mar,N,15.22,13.17
2000,Apr,N,14.56,12.6
2000,May,N,13.15,11.24
2000,Jun,N,11.67,9.05
2000,Jul,N,9.51,6.39
2000,Aug,N,7.17,4.78
2000,Sep,N,6.25,4.35
2000,Oct,N,8.38,6.69
2000,Nov,N,10.32,8.87
2000,Dec,N,12.64,10.96
2000,Jan,S,4.75,2.92
2000,Feb,S,2.91,1.72
